Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_NN,ML_LSTM,FE_window_7d,FE_window_14d,FE_window_30d,FE_window_60d,FE_window_90d,FE_window_360d
2017-01-03,56.91210886,59.21135806,56.3088405,58.05035104,6389526,,,,0.6736393570899963,,,,,,
2017-01-04,58.05035104,57.43501731,54.61957529,56.3088405,6389526,,,,1.0691136121749878,,,,,,
2017-01-05,56.3088405,60.88111835,57.89674981,59.68737093,6389526,,,,1.6558876037597656,,,,,,
2017-01-06,59.68737093,58.44587362,55.58087981,57.29987610000001,6389526,,,,2.50933051109314,,,,,,
2017-01-09,57.29987610000001,53.77020373,51.13440943,52.71588601,6389526,,,,3.729142904281616,,,,,,
2017-01-10,52.71588601,58.07182003,55.22516218,56.93315689,6389526,,,,5.445602893829347,,,,,,
2017-01-11,56.93315689,62.13684743,59.09092354,60.91847787,6389526,55.81596274,,,7.1847777366638175,57.4162799057143,,,,,
2017-01-12,60.91847787,63.37958438,60.27274201,62.13684743,6389526,65.52811523999999,,,8.990669250488281,58.000065104285724,,,,,
2017-01-13,62.13684743,60.844401,57.86183233,59.65137353,6389526,64.58632393,,,10.855302810668944,58.47756982285715,,,,,
2017-01-16,59.65137353,56.58529293,53.81150406,55.47577739,6389526,62.00287095999999,,,12.320123672485352,57.87591360285715,,,,,
2017-01-17,55.47577739,55.45358707,52.73527398,54.36626184,6389526,58.23566877,,,13.765071868896484,57.456825851428576,,,,,
2017-01-18,54.36626184,59.88987404,56.95409590000001,58.71556278,6389526,51.79936679,,,15.183258056640625,58.31392253285715,,,,,
2017-01-19,58.71556278,58.09317782,55.24547302,56.95409590000001,6389526,56.51264769,,,16.620407104492188,58.31691382000001,,,,,
2017-01-20,56.95409590000001,60.99783671,58.00774668,59.8018007,6389526,51.771344370000016,57.22375255800002,59.415768183387506,18.09880828857422,58.15738851000001,57.78683420785713,,,,
2017-01-23,59.8018007,64.65770691,61.48821148,63.38990874,6389526,59.95222787,58.83886546800002,62.39457649630297,19.598522186279297,58.33639726857144,58.168231186428564,,,,
2017-01-24,63.38990874,64.65770691,61.48821148,63.38990874,6389526,71.30404009,60.991730292,65.36715191769281,21.07722282409668,58.87047372714287,58.67402177499999,,,,
2017-01-25,63.38990874,65.30428398,62.10309359,64.02380783,6389526,72.41355564,62.746327456,68.19006440598635,22.534481048583984,60.091620932857154,58.98376726785714,,,,
2017-01-27,64.02380783,62.69211262,59.61896985,61.46285551,6389526,69.33205287999999,63.41143739,70.88957718948582,24.012435913085934,61.10542002857144,59.28112293999999,,,,
2017-01-30,61.46285551,63.94595488,60.81134924,62.69211262,6389526,65.97161511999998,62.423846528999995,73.32504561484163,25.44925880432129,61.67349857714287,59.99371055499999,,,,
